name,slug
Ohio Senate,ohio-senate
Ohio House of Representatives,ohio-house
Auditor of State,auditor-state
Secretary of State,secretary-state
Treasurer of State,treasurer-state
Chief Justice of the Supreme Court,chief-justice-supreme-court
Justice of the Supreme Court,justice-supreme-court
State Board of Education,state-board-education
Judge of the Court of Appeals,judge-court-appeals
Judge of the Court of Common Pleas,judge-court-common-pleas
County Commissioner,county-commissioner
County Auditor,county-auditor
Clerk of Courts,clerk-courts
County Coroner,county-coroner
County Engineer,county-engineer
County Prosecutor,county-prosecutor
County Treasurer,county-treasurer
County Court Judge,county-court-judge